Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,SiteSurveyed,TransectNumber,TransectSampled,TransectPosition,VerticalLength,DistanceCross,QuadratMultiplier,QuadratPosition,QuadratPosition_Overridden,QuadratLength,QuadratHeight,Area,CoreQualifier,QuadQualifier,Primary,Numadd,CoreCount,Notes
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,1,Y,1.2,3.8,0,.,1,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,"""start point for vert tx 1 needs to be greater than 5m. If greater, subtract 5 from first random value. (KAK note- this became unnecessary once SOP updated)"""
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,2,Y,6.2,2,0,.,1.7,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,3,Y,11.2,5.3,0,.,0.5,UNK,12.5,25,0.0313,No Mussels,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,4,Y,16.2,4.2,0,.,3.3,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,5,Y,21.2,5.7,0,.,3.7,UNK,25,50,0.125,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,6,Y,26.2,5,0,.,2.9,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,7,Y,31.2,3.9,0.7,.,2.1,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,8,Y,36.2,3.1,0,.,0.2,UNK,50,100,0.5,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,9,Y,41.2,5.2,1.4,.,1.2,UNK,25,25,0.0625,No Mussels,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,Yes,10,Y,46.2,6.3,0.9,.,5.6,UNK,50,100,0.5,No Mussels,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,1,Y,0,3.4,0,0.03,0.1,UNK,25,50,0.125,Mussels Present,Mussels Present,Y,0,1,quad shifted down top left at 0.1 not bottom left. Core = 0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,2,Y,5,1.7,0,0.03,0.05,UNK,25,25,0.0625,No Mussels,Mussels Present,Y,0,1,quad 2 shifted down- top left at 0.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,3,Y,10,4.9,0,0.48,1.9,UNK,25,50,0.125,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,4,Y,15,4.6,0,0.78,3.6,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,5,Y,20,3.3,0,0.4,1.3,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,6,Y,25,2.5,0,0.55,1.4,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,7,Y,30,1.8,0,0.67,1.2,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,8,Y,35,3.2,0,0.6,1.9,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,9,Y,40,3,0,0.61,1.8,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,Yes,10,Y,45,3.5,0,0.53,1.9,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,1,Y,2.57,1.77,0.15,0.22,0.57,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,2,Y,7.57,4.1,1.43,0.61,2.5,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,3,Y,12.57,4.55,1.63,0.53,2.41,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,4,Y,17.57,4.14,2.23,0.01,0.01,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,5,Y,22.57,4.3,2.81,0.17,0.73,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,6,Y,27.57,3.73,3.1,0.89,3.32,UNK,6.25,12.5,0.0078,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,7,Y,32.57,4.7,2.02,0.77,3.62,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,8,Y,37.57,3.03,0.51,0.4,1.21,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,9,Y,42.57,3.92,1.55,0.6,2.35,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,Yes,10,Y,47.57,4.2,1.6,0.84,3.53,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,1,Y,2.6,3.1,0,0.55,1.7,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,2,Y,7.6,8.2,2.3,0.32,2.6,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,3,Y,12.6,8.5,4.35,0.72,6.12,UNK,.,.,1,Not Sampled,Mussels Present,N,0,0,field data sheet says no core taken
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,4,Y,17.6,9.3,4.1,0.91,8.45,UNK,.,.,1,Mussels Present,No Mussels,Y,0,1,no large mussels
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,5,Y,22.6,6,4,0.05,0.3,UNK,.,.,1,Not Sampled,Mussels Present,N,0,0,field data sheet says no core taken
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,6,Y,27.6,1.8,0.35,0.57,1.02,UNK,.,.,1,Mussels Present,No Mussels,Y,0,1,no large mussels
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,7,Y,32.6,3.8,1.9,0.75,2.92,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,8,Y,37.6,5.9,0.9,0.29,1.71,UNK,50,100,0.5,Not Sampled,Mussels Present,N,0,0,field data sheet says no core taken
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,9,Y,42.6,1.1,0.8,0.3,0.33,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,Yes,10,Y,47.6,5.6,1.75,0.31,1.74,UNK,50,100,0.5,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,1,Y,1.93,3.67,0.45,0.58,2.13,UNK,25,50,0.125,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,2,Y,6.93,6.4,2.2,0.46,2.94,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,3,Y,11.93,7.9,4,0.48,3.79,UNK,25,50,0.125,No Mussels,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,4,Y,16.93,6.1,2,0.67,4.09,UNK,100,100,1,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,5,Y,21.93,2.05,0.95,0.12,0.11,UNK,100,100,1,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,6,Y,26.93,4.25,2.7,0.43,1.83,UNK,100,100,1,No Mussels,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,7,Y,31.93,2.1,1.42,0.25,0.52,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,0,1,"""more mussels below 2.1m, but greater than 1m gap. Mussels to 3.92m"""
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,8,Y,36.93,2.9,0,0.22,0.64,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,9,Y,41.93,3.8,1.9,0.86,3.27,UNK,100,100,1,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,Yes,10,Y,46.93,4.2,1.35,0.27,1.13,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,1,Y,3.41,3.1,0.9,0.65,2,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,no mussels below 0mllw at site.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,2,Y,8.41,9,3.85,0.46,4.1,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,3,Y,13.41,8,3.8,0.28,2.24,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,4,Y,18.41,7.6,2.5,0.34,2.58,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
