Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,TransectNumber,Count
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,14
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,34
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,31
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,4,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,5,42
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,6,82
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,7,77
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,8,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,9,90
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,10,64
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,1,45
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,2,81
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,3,78
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,4,84
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,5,30
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,6,109
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,7,130
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,8,51
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,9,57
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,10,31
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,1,35
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,2,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,3,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,4,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,5,28
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,6,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,7,31
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,8,28
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,9,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,10,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,1,12
