Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,TransectNumber,Size
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,26
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,40
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,39
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,42
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,25
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,23
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,23
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,35
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,30
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,26
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,26
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,28
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,29
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,29
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,30
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,30
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,30
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,32
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,33
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,25
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,37
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,23
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,37
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,23
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,25
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,41
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,25
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,32
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,26
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,31
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,32
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,35
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,35
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,36
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,37
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,38
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,31
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,29
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,21
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,23
