SiteID,SiteName,SampleDate,Year,Quadrat_Num,Elevation_Position,SpeciesName,Count,Quadrat_Size_sq_m,Density_individual2SqM
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Lottia spp.,8,2,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Nucella spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Lottia spp.,9,2,9
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Nucella spp.,3,2,3
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Lottia spp.,2,2,2
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Nucella spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Lottia spp.,40,2,40
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Nucella spp.,1,2,1
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Lottia spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Nucella spp.,1,2,1
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Lottia spp.,34,2,34
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Nucella spp.,2,2,2
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Lottia spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Nucella spp.,1,2,1
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),Lottia spp.,6,2,6
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),Nucella spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Lottia spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Nucella spp.,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Lottia spp.,10,2,10
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Nucella spp.,10,2,10
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Lirabuccinum dirum,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Lottia spp.,2,2,2
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Nucella spp.,1,2,1
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Upper (1.5 m MLLW),Katharina tunicata,0,2,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Upper (1.5 m MLLW),Lirabuccinum dirum,0,2,0
