SiteID,SiteName,SampleDate,Year,Quadrat_Num,Elevation_Position,Species,Percent_Cover
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Alaria marginata,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),barnacle,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Elachista fucicola,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Fucus distichus,68
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Gloiopeltis furcata,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),non-coralline algal crust,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),Pylaiella littoralis,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Mid (0.5 m MLLW),unidentified sponge,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),bare substrate,60
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Boreophyllum / Pyropia / Wildemania spp.,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Fucus distichus,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Gloiopeltis furcata,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,1,Upper (1.5 m MLLW),Mytilus trossulus,36
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Alaria marginata,68
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),bare substrate,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Cryptosiphonia woodii,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),encrusting coralline algae,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Halosaccion glandiforme,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,28
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),bare substrate,36
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),barnacle,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Fucus distichus,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Mytilus trossulus,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,2,Upper (1.5 m MLLW),Soranthera ulvoidea,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Alaria marginata,60
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Cryptosiphonia woodii,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Gloiopeltis furcata,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Halosaccion glandiforme,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,72
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),bare substrate,28
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),barnacle,36
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Mytilus trossulus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,3,Upper (1.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Alaria marginata,76
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),bare substrate,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Gloiopeltis furcata,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Halosaccion glandiforme,32
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),bare substrate,88
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,4,Upper (1.5 m MLLW),Mytilus trossulus,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Alaria marginata,68
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),bare substrate,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),encrusting bryozoan,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Halosaccion glandiforme,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Mid (0.5 m MLLW),Spirorbidae,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),bare substrate,44
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Gloiopeltis furcata,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Mytilus trossulus,44
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,5,Upper (1.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Alaria marginata,36
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),bare substrate,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Boreophyllum / Pyropia / Wildemania spp.,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Fucus distichus,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Gloiopeltis furcata,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Mid (0.5 m MLLW),Soranthera ulvoidea,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Upper (1.5 m MLLW),bare substrate,52
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Upper (1.5 m MLLW),barnacle,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,6,Upper (1.5 m MLLW),Mytilus trossulus,28
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Alaria marginata,44
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Cryptosiphonia woodii,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Elachista fucicola,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Fucus distichus,84
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Gloiopeltis furcata,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Halosaccion glandiforme,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,28
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Mid (0.5 m MLLW),Pylaiella littoralis,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Upper (1.5 m MLLW),bare substrate,72
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Upper (1.5 m MLLW),Boreophyllum / Pyropia / Wildemania spp.,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,7,Upper (1.5 m MLLW),Mytilus trossulus,28
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Alaria marginata,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),bare substrate,44
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),barnacle,40
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Fucus distichus,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Leathesia marina,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Mytilus trossulus,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Upper (1.5 m MLLW),bare substrate,68
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Upper (1.5 m MLLW),barnacle,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Upper (1.5 m MLLW),Boreophyllum / Pyropia / Wildemania spp.,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Upper (1.5 m MLLW),Fucus distichus,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,8,Upper (1.5 m MLLW),Mytilus trossulus,20
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Mid (0.5 m MLLW),Alaria marginata,52
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Mid (0.5 m MLLW),Halosaccion glandiforme,64
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Upper (1.5 m MLLW),bare substrate,56
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Upper (1.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,9,Upper (1.5 m MLLW),Mytilus trossulus,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Alaria marginata,64
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),bare substrate,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Elachista fucicola,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Fucus distichus,32
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Gloiopeltis furcata,4
