SiteID,SiteName,SampleDate,Year,Elevation_Position,Quadrat_Num,Valid_Synonym,Lump_Name,SpeciesCount,Points_In_Quad,PercentCover
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,bare substrate,bare substrate,7,49,14.29
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,barnacle spat,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,Devalerea callophyloides,Devaleraea / Palmaria spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,Fucus distichus,Fucus distichus,21,49,42.86
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,Halosaccion glandiforme,Halosaccion glandiforme,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,Polyostea bipinnata,Polyostea / Polysiphonia spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),1,Pylaiella littoralis,Pylaiella littoralis,7,49,14.29
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),2,Alaria marginata,Alaria marginata,25,49,51.02
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),2,bare substrate,bare substrate,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),2,Devalerea callophyloides,Devaleraea / Palmaria spp.,7,49,14.29
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),2,Fucus distichus,Fucus distichus,9,49,18.37
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,Alaria marginata,Alaria marginata,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,bare substrate,bare substrate,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,barnacle spat,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,Fucus distichus,Fucus distichus,18,49,36.73
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,Halosaccion glandiforme,Halosaccion glandiforme,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,15,49,30.61
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),3,Pylaiella littoralis,Pylaiella littoralis,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,Alaria marginata,Alaria marginata,23,49,46.94
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,bare substrate,bare substrate,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,Devalerea callophyloides,Devaleraea / Palmaria spp.,15,49,30.61
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,Fucus distichus,Fucus distichus,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,Halosaccion glandiforme,Halosaccion glandiforme,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),4,Tokidadendron bullatum,Phycodrys / Tokidadendron spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Alaria marginata,Alaria marginata,10,49,20.41
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,bare substrate,bare substrate,2,49,4.08
