SiteID,SiteName,SampleDate,Year,Transect_Width_m,Transect_Length_m,Species,Count,Density_individual200SqM,Density_Healthy,Density_Diseased
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Dermasterias imbricata,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Evasterias troschelii,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Henricia leviuscula,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Mediaster aequalis,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Orthasterias koehleri,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Pisaster ochraceus,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Pycnopodia helianthoides,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,4,100,Solaster spp.,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Dermasterias imbricata,4,2,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Evasterias troschelii,34,17,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Henricia leviuscula,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Mediaster aequalis,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Orthasterias koehleri,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Pisaster ochraceus,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Pycnopodia helianthoides,6,3,.,.
AKP_B10_RI_01,Kukak Bay,2008-07-04,2008,4,100,Solaster spp.,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2009-07-05,2009,4,50,Dermasterias imbricata,1,1,.,.
AKP_B10_RI_01,Kukak Bay,2009-07-05,2009,4,50,Evasterias troschelii,5,5,.,.
AKP_B10_RI_01,Kukak Bay,2009-07-05,2009,4,50,Henricia leviuscula,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2009-07-05,2009,4,50,Mediaster aequalis,0,0,.,.
AKP_B10_RI_01,Kukak Bay,2009-07-05,2009,4,50,Orthasterias koehleri,0,0,.,.
