Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,TransectNumber,NumberPrimaryCores,PrimaryMusselCount,NumberAdditionalCores,AdditionalMusselCount
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,1,1,4,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,2,1,30,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,3,1,0,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,4,1,42,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,5,1,1,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,6,1,1,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,7,1,3,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,8,1,1,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,9,1,0,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2008,2008,10,1,0,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,1,1,8,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,2,1,0,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,3,1,28,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,4,1,37,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,5,1,21,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,6,1,40,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,7,1,58,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,8,1,19,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,9,1,11,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/5/2009,2009,10,1,5,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,1,1,1,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,2,1,23,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,3,1,2,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,4,1,3,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,5,1,5,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,6,1,27,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,7,1,1,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,8,1,7,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,9,1,27,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2010,2010,10,1,23,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,1,1,38,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,2,1,6,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,3,0,.,0,.
