SiteID,SiteName,SampleDate,Year,Elevation_Position,Quadrat_Num,Bed_Rock,Boulder,Cobble,Gravel,Sand_Mud,Other
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),1,80,20,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),2,50,40,10,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),3,80,10,10,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),4,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),5,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),6,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),7,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),8,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),9,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),10,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),11,30,30,20,20,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Mid (0.5 m MLLW),12,0,40,50,10,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),1,60,40,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),2,10,70,20,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),3,70,25,5,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),4,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),5,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),6,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),7,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),8,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),9,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),10,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),11,80,20,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Upper (1.5 m MLLW),12,30,30,30,10,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),1,70,30,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),2,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),3,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),4,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),5,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),6,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),7,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),8,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),9,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),10,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),11,90,5,5,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Mid (0.5 m MLLW),12,80,5,15,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),1,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),2,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),3,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),4,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),5,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),6,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),7,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),8,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),9,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),10,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),11,5,50,45,0,0,0
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Upper (1.5 m MLLW),12,95,4,1,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),1,70,30,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),2,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),3,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),4,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),5,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),6,30,70,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),7,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),8,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),9,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),10,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),11,0,85,15,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Mid (0.5 m MLLW),12,85,10,0,5,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),1,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),2,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),3,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),4,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),5,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),6,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),7,75,10,15,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),8,90,7,3,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),9,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),10,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),11,0,85,15,0,0,0
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Upper (1.5 m MLLW),12,100,0,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),1,0,0,90,10,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),2,0,30,70,0,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),3,0,100,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),4,0,100,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),5,0,95,5,0,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),6,0,100,0,0,0,0
AKP_B10_RI_01,Kukak Bay,2019-07-02,2019,Mid (0.5 m MLLW),7,0,100,0,0,0,0
