SiteID,SiteName,SampleDate,Year,Species,Size_mm,Diseased_State,Comments
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Evasterias troschelii,168,H,
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Evasterias troschelii,187,H,
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Evasterias troschelii,124,H,
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Evasterias troschelii,191,H,
AKP_B10_RI_01,Kukak Bay,2021-07-13,2021,Evasterias troschelii,49,H,
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Dermasterias imbricata,110,H,
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Evasterias troschelii,35,H,
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,Evasterias troschelii,104,H,
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Evasterias troschelii,130,H,
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,Evasterias troschelii,157,H,
AKP_B10_RI_02,Kaflia Bay,2023-07-08,2023,Evasterias troschelii,40,H,
AKP_B10_RI_02,Kaflia Bay,2023-07-08,2023,Evasterias troschelii,70,H,
AKP_B10_RI_02,Kaflia Bay,2023-07-08,2023,Evasterias troschelii,58,H,
AKP_B10_RI_02,Kaflia Bay,2023-07-08,2023,Evasterias troschelii,122,H,
AKP_B10_RI_02,Kaflia Bay,2023-07-08,2023,Henricia leviuscula,23,H,
AKP_B10_RI_02,Kaflia Bay,2023-07-08,2023,Henricia leviuscula,32,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Dermasterias imbricata,62,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,116,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,139,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,96,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,102,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,134,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,72,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,81,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,76,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,50,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,74,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,81,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,134,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,112,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,94,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,78,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,104,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,114,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,121,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,102,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,70,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,76,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,109,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,94,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,38,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Evasterias troschelii,78,H,
AKP_B10_RI_03,Kinak Bay,2021-07-11,2021,Orthasterias koehleri,78,H,
