Year,Date,Region,Site,latitude,longitude,Stratum,Replicate,Quadrat(m2),Field ID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species,Synonymized name,#counts
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,2,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,1
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,4,1,Urticina crassicornis,100832,Urticina crassicornis,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,crassicornis,n/a,1
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,9,1,Lottia sp.,160336,Lottia,Animalia,Mollusca,Gastropoda,Patellogastropoda ,Lottiidae,Lottia,n/a,Tectura,1
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,1,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,4
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,1,1,Lottia sp.,160336,Lottia,Animalia,Mollusca,Gastropoda,Patellogastropoda ,Lottiidae,Lottia,n/a,Tectura,2
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,4,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,1
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,5,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,9
2012,5/5/2012,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,7,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,12
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,7,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,2,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,21
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,4,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,32
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,5,1,Anthopleura artemisia,283337,Anthopleura artemisia,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,n/a,14
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,1,1,Leptasterias hexactis,369179,Leptasterias hexactis,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,hexactis,n/a,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,1,1,Mopalia sp.,385567,Mopalia,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,n/a,n/a,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,1,1,Tectura sp.,138142,Tectura,Animalia,Mollusca,Gastropoda,Patellogastropoda ,Lottiidae,Tectura,n/a,Lottia,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,1,1,Tonicella sp.,138090,Tonicella,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,n/a,n/a,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,2,1,Evasterias troschelii,255040,Evasterias troschelii,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,troschelii,n/a,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,2,1,Tectura sp.,138142,Tectura,Animalia,Mollusca,Gastropoda,Patellogastropoda ,Lottiidae,Tectura,n/a,Lottia,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,2,1,Tonicella sp.,138090,Tonicella,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,n/a,n/a,1
2012,5/5/2012,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,5,1,soft tube worm,883,Porifera,Animalia,Annelida,Polychaeta,n/a,n/a,n/a,n/a,n/a,5
