Year,Date,Region,Site,latitude,longitude,Stratum,Phylum,Species,Abundance (# ind/100 m2)
2012,5/5/2012,Kachemak Bay,Bishop's Beach,-151.601783,59.642783,high,Cnidaria,Anthopleura artemisia,1
2012,5/5/2012,Kachemak Bay,Bishop's Beach,-151.601783,59.642783,mid,Cnidaria,Anthopleura artemisia,31
2012,5/5/2012,Kachemak Bay,Bishop's Beach,-151.601783,59.642783,low,Cnidaria,Urticina crassicornis,4
2012,5/5/2012,Kachemak Bay,Bluff Point,-151.671167,59.6567,mid,Cnidaria,Anthopleura artemisia,80
2012,5/5/2012,Kachemak Bay,Bluff Point,-151.671167,59.6567,mid,Cnidaria,Urticina crassicornis,2
2012,5/5/2012,Kachemak Bay,Bluff Point,-151.671167,59.6567,low,Cnidaria,Urticina crassicornis,8
2012,5/5/2012,Kachemak Bay,Bluff Point,-151.671167,59.6567,mid,Echinodermata,Evasterias troschelii,1
2012,5/5/2012,Kachemak Bay,Bluff Point,-151.671167,59.6567,low,Echinodermata,Evasterias troschelii,2
2012,5/5/2012,Kachemak Bay,Bluff Point,-151.671167,59.6567,low,Echinodermata,Solaster spp.,1
2012,5/6/2012,Kachemak Bay,Cohen Island,-151.47695,59.539133,high,Cnidaria,Anthopleura artemisia,1
2012,5/6/2012,Kachemak Bay,Cohen Island,-151.47695,59.539133,low,Cnidaria,Urticina crassicornis,6
2012,5/6/2012,Kachemak Bay,Cohen Island,-151.47695,59.539133,- 1 m,Cnidaria,Urticina crassicornis,14
2012,5/6/2012,Kachemak Bay,Cohen Island,-151.47695,59.539133,- 1 m,Echinodermata,Evasterias troschelii,2
2012,5/6/2012,Kachemak Bay,Cohen Island,-151.47695,59.539133,- 1 m,Echinodermata,Henricia leviuscula,2
2012,5/6/2012,Kachemak Bay,Cohen Island,-151.47695,59.539133,- 1 m,Echinodermata,Solaster spp.,1
2012,5/4/2012,Kachemak Bay,Outside Beach,-151.7085,59.464233,low,Cnidaria,Urticina crassicornis,6
2012,5/4/2012,Kachemak Bay,Outside Beach,-151.7085,59.464233,- 1 m,Cnidaria,Urticina crassicornis,7
2012,5/4/2012,Kachemak Bay,Outside Beach,-151.7085,59.464233,low,Echinodermata,Henricia leviuscula,3
2012,5/4/2012,Kachemak Bay,Outside Beach,-151.7085,59.464233,- 1 m,Echinodermata,Henricia leviuscula,6
2012,5/4/2012,Kachemak Bay,Outside Beach,-151.7085,59.464233,- 1 m,Echinodermata,Orthasterias koehleri,1
2012,5/4/2012,Kachemak Bay,Outside Beach,-151.7085,59.464233,low,Echinodermata,Orthasterias koehleri,1
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,- 1 m,Cnidaria,Urticina crassicornis,2
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,mid,Cnidaria,Urticina crassicornis,2
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,low,Cnidaria,Urticina crassicornis,12
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,- 1 m,Echinodermata,Evasterias troschelii,1
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,- 1 m,Echinodermata,Henricia leviuscula,3
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,low,Echinodermata,Henricia leviuscula,3
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,- 1 m,Echinodermata,Orthasterias koehleri,3
2012,5/7/2012,Kachemak Bay,Port Graham ,-151.894167,59.373333,low,Echinodermata,Pycnopodia helianthoides,1
2013,5/12/2013,Kachemak Bay,Bluff Point,-151.671167,59.6567,mid,Cnidaria,Anthopleura artemisia,3
2013,5/12/2013,Kachemak Bay,Bluff Point,-151.671167,59.6567,mid,Cnidaria,Urticina crassicornis,5
2013,5/12/2013,Kachemak Bay,Bluff Point,-151.671167,59.6567,low,Echinodermata,Evasterias troschelii,1
2013,5/9/2013,Kachemak Bay,Cohen Island,-151.47695,59.539133,low,Cnidaria,Urticina crassicornis,2
2013,5/9/2013,Kachemak Bay,Cohen Island,-151.47695,59.539133,- 1 m,Cnidaria,Urticina crassicornis,19
2013,5/9/2013,Kachemak Bay,Cohen Island,-151.47695,59.539133,- 1 m,Echinodermata,Evasterias troschelii,1
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,low,Cnidaria,Anthopleura artemisia,1
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,low,Cnidaria,Urticina crassicornis,1
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,- 1 m,Cnidaria,Urticina crassicornis,10
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,- 1 m,Echinodermata,Evasterias troschelii,6
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,- 1 m,Echinodermata,Pisaster ochraceus,1
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,low,Echinodermata,Pisaster ochraceus,1
2013,6/8/2013,Kachemak Bay,Elephant Island,-151.505881,59.513961,- 1 m,Echinodermata,Solaster spp.,1
2013,5/8/2013,Kachemak Bay,Outside Beach,-151.7085,59.464233,mid,Cnidaria,Urticina crassicornis,1
2013,5/8/2013,Kachemak Bay,Outside Beach,-151.7085,59.464233,low,Cnidaria,Urticina crassicornis,4
2013,5/8/2013,Kachemak Bay,Outside Beach,-151.7085,59.464233,- 1 m,Cnidaria,Urticina crassicornis,11
