Year,Date(YYYY-MM-DD),Region,Site,latitude,longitude,Stratum,Replicate,SubstrateType,PercentCover(%)
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,1,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,2,bedrock,95
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,3,bedrock,75
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,4,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,5,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,6,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,7,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,8,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,9,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,10,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,1,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,2,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,3,bedrock,10
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,4,bedrock,5
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,5,bedrock,10
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,6,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,7,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,8,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,9,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,10,bedrock,95
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,1,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,2,bedrock,10
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,3,bedrock,30
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,4,bedrock,50
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,5,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,6,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,7,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,8,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,9,bedrock,100
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,10,bedrock,95
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,1,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,2,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,3,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,4,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,5,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,6,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,7,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,8,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,9,bedrock,0
2014,6/13/2014,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,10,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,1,bedrock,75
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,2,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,3,bedrock,65
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,4,bedrock,5
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,5,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,6,bedrock,40
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,7,bedrock,35
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,8,bedrock,70
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,9,bedrock,40
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,10,bedrock,40
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,1,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,2,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,3,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,4,bedrock,45
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,5,bedrock,100
