 Year,Date (YYYY-MM-DD), Region, Site,Latitude,Longitude, Quadrat (m2), Replicate, length (mm), frequency
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,1,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,2,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,3,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,4,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,5,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,6,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,7,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,8,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,9,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,10,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,11,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,12,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,13,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,14,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,15,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,16,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,17,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,18,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,19,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,20,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,21,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,22,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,23,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,24,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,25,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,26,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,1,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,1,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,2,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,3,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,4,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,5,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,6,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,7,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,8,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,9,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,10,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,11,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,12,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,13,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,14,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,15,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,16,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,17,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,18,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,19,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,20,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,21,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,22,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,23,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,24,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,25,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,26,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,2,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,1,13
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,2,19
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,3,19
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,4,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,5,10
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,6,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,7,10
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,8,8
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,9,9
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,10,13
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,11,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,12,19
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,13,10
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,14,10
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,15,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,16,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,17,7
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,18,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,19,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,20,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,21,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,22,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,23,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,24,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,25,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,26,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,3,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,1,9
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,2,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,3,31
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,4,31
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,5,27
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,6,17
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,7,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,8,14
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,9,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,10,16
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,11,21
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,12,14
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,13,16
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,14,22
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,15,21
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,16,25
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,17,17
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,18,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,19,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,20,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,21,7
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,22,5
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,23,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,24,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,25,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,26,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,4,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,1,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,2,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,3,9
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,4,5
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,5,18
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,6,33
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,7,31
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,8,33
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,9,26
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,10,17
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,11,28
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,12,26
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,13,31
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,14,28
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,15,20
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,16,17
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,17,23
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,18,18
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,19,18
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,20,9
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,21,14
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,22,6
