Region,Block_Number,Block_Name,Site_ID,Site_Name,Latitude,Longitude,Site_Type,GRTS_Number,Date_Established
AKP,10,KATM,AKP_B10_MI_01,Kukak or Kukak Bay,58.31023,-154.19458,mussel,NA,4-Jul-08
AKP,10,KATM,AKP_B10_MI_02,Kaflia or Kaflia Bay,58.25666,-154.20183,mussel,NA,6-Jul-08
AKP,10,KATM,AKP_B10_MI_03,Kinak or Kinak Bay,58.19109,-154.48509,mussel,NA,2-Jul-08
AKP,10,KATM,AKP_B10_MI_04,Amalik or Amalik Bay,58.07922,-154.46515,mussel,NA,1-Jul-08
AKP,10,KATM,AKP_B10_MI_05,Takli or Takli Island,58.06026,-154.45909,mussel,NA,30-Jun-08
AKP,10,KATM,AKP_B10_RI_01,Kukak or Kukak Bay,58.316583,-154.206583,rocky,1,22-Jun-06
AKP,10,KATM,AKP_B10_RI_02,Kaflia or Kaflia Bay,58.256944,-154.197694,rocky,15,24-Jun-06
AKP,10,KATM,AKP_B10_RI_03,Kinak or Kinak Bay,58.186556,-154.46575,rocky,4,25-Jun-06
AKP,10,KATM,AKP_B10_RI_04,Amalik or Amalik Bay,58.079222,-154.466,rocky,5,26-Jun-06
AKP,10,KATM,AKP_B10_RI_05,Takli or Takli Island,58.0635,-154.484056,rocky,6,27-Jun-06
AKP,10,KATM,AKP_B10_RS_01,Ninagiak or Ninagiak Island or Nina,58.45451,-154.01436,rocky,NA,4-Jul-07
AKP,10,KATM,AKP_B10_SI_01,Kukak or Kukak Bay,58.30409,-154.19528,soft,NA,3-Jul-07
AKP,10,KATM,AKP_B10_SI_02,Kaflia or Kaflia Bay,58.26091,-154.21548,soft,NA,2-Jul-07
AKP,10,KATM,AKP_B10_SI_03,Kinak or Kinak Bay,58.16024,-154.43788,soft,NA,1-Jul-07
AKP,10,KATM,AKP_B10_SI_04,Amalik or Amalik Bay,58.08463,-154.48701,soft,NA,29-Jun-07
AKP,10,KATM,AKP_B10_SI_05,Takli or Takli Island,58.062317,-154.480567,soft,NA,28-Jun-07
AKP,10,KATM,AKP_B10_SS_01,Ninagiak or Ninagiak Island or Nina,58.46155,-154.01201,soft,NA,4-Jul-07
AKP,12,LACL,AKP_B12_SE_01,Chinitna or Chinitna Bay,59.875902,-152.927586,soft,1,25-May-09
AKP,12,LACL,AKP_B12_SE_02,Tukendni or Tukendni Bay,60.22592,-152.550853,soft,3,23-May-09
AKP,12,LACL,AKP_B12_SE_03,Chisik or Chisik Island,60.174123,-152.593689,soft,5,22-May-09
AKP,12,LACL,AKP_B12_SE_04,Johnson Creek,60.000127,-152.623964,soft,6,26-May-09
AKP,12,LACL,AKP_B12_SE_05,Polly Creek,60.291554,-152.40488,soft,10,29-May-09
KEP,04,KBAY,KEP_B04_ME_01,Bishop's or Bishop's Beach,59.642783,-151.601783,mussel,NA,5-May-15
KEP,04,KBAY,KEP_B04_ME_02,Bluff Point ,59.6567,-151.671167,mussel,NA,5-May-15
KEP,04,KBAY,KEP_B04_ME_03,Cohen or Cohen Island,59.539133,-151.47695,mussel,NA,5-May-12
KEP,04,KBAY,KEP_B04_ME_04,Outside,59.464233,-151.7085,mussel,NA,8-May-12
KEP,04,KBAY,KEP_B04_ME_05,Port Graham,59.373333,-151.894167,mussel,NA,7-May-12
KEP,04,KBAY,KEP_B04_ME_06,Elephant or Elephant Island,59.513961,-151.505881,mussel,NA,7-May-15
KEP,04,KBAY,KEP_B04_RE_01,Bishop's or Bishop's Beach,59.642783,-151.601783,rocky,NA,12-May-13
KEP,04,KBAY,KEP_B04_RE_02,Bluff Point ,59.6567,-151.671167,rocky,NA,12-May-13
KEP,04,KBAY,KEP_B04_RE_03,Cohen or Cohen Island,59.539133,-151.47695,rocky,NA,4-Jun-03
KEP,04,KBAY,KEP_B04_RE_04,Outside,59.464233,-151.7085,rocky,NA,5-Jun-03
KEP,04,KBAY,KEP_B04_RE_05,Port Graham,59.373333,-151.894167,rocky,NA,8-May-04
KEP,04,KBAY,KEP_B04_RE_06,Elephant or Elephant Island,59.513961,-151.505881,rocky,NA,7-Jun-03
KEP,04,KBAY,KEP_B04_SE_01,Bear or Bear Cove,59.7219,-151.0527,soft,NA,24-Jun-05
KEP,04,KBAY,KEP_B04_SE_02,China Poot or China Poot Bay,59.5688,-151.301733,soft,NA,6-Jun-04
KEP,04,KBAY,KEP_B04_SE_03,Jakalof or Jakalof Bay,59.457383,-151.5274,soft,NA,2-Jun-04
KEP,04,KBAY,KEP_B04_SE_04,Port Graham,59.34345,-151.8169,soft,NA,1-Jun-04
KEP,05,KEFJ,KEP_B05_MI_01,Aialik or Aialik Bay,59.89483,-149.64517,mussel,NA,20-Jun-08
KEP,05,KEFJ,KEP_B05_MI_02,McCarty or McCarty Fjord,59.53138,-150.33151,mussel,NA,18-Jun-08
KEP,05,KEFJ,KEP_B05_MI_03,Nuka Bay,59.50903,-150.56155,mussel,NA,17-Jun-08
KEP,05,KEFJ,KEP_B05_MI_04,Nuka Passage or Nuka Pass,59.41845,-150.63826,mussel,NA,16-Jun-08
KEP,05,KEFJ,KEP_B05_MI_05,Harris or Harris Bay,59.7319,-149.91759,mussel,NA,19-Jun-08
KEP,05,KEFJ,KEP_B05_RI_01,Aialik or Aialik Bay,59.87664,-149.63289,rocky,1,19-Jun-07
KEP,05,KEFJ,KEP_B05_RI_02,McCarty or McCarty Fjord,59.50853,-150.34178,rocky,2,15-Jun-07
KEP,05,KEFJ,KEP_B05_RI_03,Nuka Bay,59.53723,-150.60713,rocky,3,14-Jun-07
KEP,05,KEFJ,KEP_B05_RI_04,Nuka Passage or Nuka Pass,59.42071,-150.64696,rocky,4,12-Jun-07
KEP,05,KEFJ,KEP_B05_RI_05,Harris or Harris Bay,59.73766,-149.95837,rocky,5,17-Jun-07
KEP,05,KEFJ,KEP_B05_SI_01,Aialik or Aialik Bay,59.8979,-149.64037,soft,NA,18-Jun-07
