block,site,date,time,sensor,HOBO_ID,tide_height,position,Tidelevl,exposure,temperature
KATM,Kinak,06/25/2006,12:00,Kinak_0.5a,914261,0.5,a,0.96,transition,8.841
KATM,Kinak,06/25/2006,12:30,Kinak_0.5a,914261,0.5,a,1.55,water,8.8785
KATM,Kinak,06/25/2006,13:00,Kinak_0.5a,914261,0.5,a,2.13,water,8.916
KATM,Kinak,06/25/2006,13:30,Kinak_0.5a,914261,0.5,a,2.66,water,8.9405
KATM,Kinak,06/25/2006,14:00,Kinak_0.5a,914261,0.5,a,3.12,water,8.965
KATM,Kinak,06/25/2006,14:30,Kinak_0.5a,914261,0.5,a,3.47,water,8.9155
KATM,Kinak,06/25/2006,15:00,Kinak_0.5a,914261,0.5,a,3.69,water,8.866
KATM,Kinak,06/25/2006,15:30,Kinak_0.5a,914261,0.5,a,3.79,water,8.804
KATM,Kinak,06/25/2006,16:00,Kinak_0.5a,914261,0.5,a,3.77,water,8.742
KATM,Kinak,06/25/2006,16:30,Kinak_0.5a,914261,0.5,a,3.65,water,9.0145
KATM,Kinak,06/25/2006,17:00,Kinak_0.5a,914261,0.5,a,3.45,water,9.287
KATM,Kinak,06/25/2006,17:30,Kinak_0.5a,914261,0.5,a,3.17,water,9.287
KATM,Kinak,06/25/2006,18:00,Kinak_0.5a,914261,0.5,a,2.83,water,9.287
KATM,Kinak,06/25/2006,18:30,Kinak_0.5a,914261,0.5,a,2.46,water,9.6565
KATM,Kinak,06/25/2006,19:00,Kinak_0.5a,914261,0.5,a,2.08,water,10.026
KATM,Kinak,06/25/2006,19:30,Kinak_0.5a,914261,0.5,a,1.73,water,9.8415
KATM,Kinak,06/25/2006,20:00,Kinak_0.5a,914261,0.5,a,1.43,transition,9.657
KATM,Kinak,06/25/2006,20:30,Kinak_0.5a,914261,0.5,a,1.22,transition,9.5215
KATM,Kinak,06/25/2006,21:00,Kinak_0.5a,914261,0.5,a,1.12,transition,9.386
KATM,Kinak,06/25/2006,21:30,Kinak_0.5a,914261,0.5,a,1.12,transition,9.3735
KATM,Kinak,06/25/2006,22:00,Kinak_0.5a,914261,0.5,a,1.23,transition,9.361
KATM,Kinak,06/25/2006,22:30,Kinak_0.5a,914261,0.5,a,1.46,transition,9.2005
KATM,Kinak,06/25/2006,23:00,Kinak_0.5a,914261,0.5,a,1.75,water,9.04
KATM,Kinak,06/25/2006,23:30,Kinak_0.5a,914261,0.5,a,2.11,water,8.8415
KATM,Kinak,06/26/2006,0:00,Kinak_0.5a,914261,0.5,a,2.51,water,8.643
KATM,Kinak,06/26/2006,0:30,Kinak_0.5a,914261,0.5,a,2.93,water,8.7175
KATM,Kinak,06/26/2006,1:00,Kinak_0.5a,914261,0.5,a,3.32,water,8.792
KATM,Kinak,06/26/2006,1:30,Kinak_0.5a,914261,0.5,a,3.67,water,8.8045
KATM,Kinak,06/26/2006,2:00,Kinak_0.5a,914261,0.5,a,3.95,water,8.817
