block,site,date,time,sensor,HOBO_ID,tide_height,position,Tidelevl,exposure,temperature
KEFJ,Harris,06/17/2007,13:30,Harris_0.5a,1038146,0.5,a,1.39,air/transition,9.3081333333
KEFJ,Harris,06/17/2007,14:00,Harris_0.5a,1038146,0.5,a,1.79,water,8.1341333333
KEFJ,Harris,06/17/2007,14:30,Harris_0.5a,1038146,0.5,a,2.14,water,7.5121
KEFJ,Harris,06/17/2007,15:00,Harris_0.5a,1038146,0.5,a,2.44,water,6.9091
KEFJ,Harris,06/17/2007,15:30,Harris_0.5a,1038146,0.5,a,2.66,water,7.15725
KEFJ,Harris,06/17/2007,16:00,Harris_0.5a,1038146,0.5,a,2.8,water,7.43475
KEFJ,Harris,06/17/2007,16:30,Harris_0.5a,1038146,0.5,a,2.86,water,7.0413833333
KEFJ,Harris,06/17/2007,17:00,Harris_0.5a,1038146,0.5,a,2.84,water,6.6248833333
KEFJ,Harris,06/17/2007,17:30,Harris_0.5a,1038146,0.5,a,2.74,water,6.7821
KEFJ,Harris,06/17/2007,18:00,Harris_0.5a,1038146,0.5,a,2.57,water,6.9591
KEFJ,Harris,06/17/2007,18:30,Harris_0.5a,1038146,0.5,a,2.35,water,6.9770833333
KEFJ,Harris,06/17/2007,19:00,Harris_0.5a,1038146,0.5,a,2.08,water,6.9895833333
KEFJ,Harris,06/17/2007,19:30,Harris_0.5a,1038146,0.5,a,1.79,water,7.0020833333
KEFJ,Harris,06/17/2007,20:00,Harris_0.5a,1038146,0.5,a,1.5,water,7.0145833333
KEFJ,Harris,06/17/2007,20:30,Harris_0.5a,1038146,0.5,a,1.23,transition,7.8018666667
KEFJ,Harris,06/17/2007,21:00,Harris_0.5a,1038146,0.5,a,1.01,air/transition,8.6158666667
KEFJ,Harris,06/17/2007,21:30,Harris_0.5a,1038146,0.5,a,0.87,air/transition,8.4264666667
KEFJ,Harris,06/17/2007,22:00,Harris_0.5a,1038146,0.5,a,0.82,transition,8.2024666667
KEFJ,Harris,06/17/2007,22:30,Harris_0.5a,1038146,0.5,a,0.87,transition,7.7343833333
KEFJ,Harris,06/17/2007,23:00,Harris_0.5a,1038146,0.5,a,1.03,transition,7.2578833333
KEFJ,Harris,06/17/2007,23:30,Harris_0.5a,1038146,0.5,a,1.27,transition,7.0225666667
KEFJ,Harris,06/18/2007,0:00,Harris_0.5a,1038146,0.5,a,1.55,water,6.7955666667
KEFJ,Harris,06/18/2007,0:30,Harris_0.5a,1038146,0.5,a,1.88,water,7.1775666667
KEFJ,Harris,06/18/2007,1:00,Harris_0.5a,1038146,0.5,a,2.23,water,7.5805666667
KEFJ,Harris,06/18/2007,1:30,Harris_0.5a,1038146,0.5,a,2.56,water,7.2779
KEFJ,Harris,06/18/2007,2:00,Harris_0.5a,1038146,0.5,a,2.86,water,6.9509
KEFJ,Harris,06/18/2007,2:30,Harris_0.5a,1038146,0.5,a,3.11,water,6.7684166667
